"token","codigo","valor","linha","coluna"
"palavra_reservada","101","int","1","1"
"identificador","201","main","1","5"
"delimitador","301","(","1","9"
"delimitador","302",")","1","10"
"delimitador","303","{","1","12"
"palavra_reservada","101","int","3","3"
"identificador","202","a","3","7"
"operador","401","=","3","9"
"numero","501","0","3","11"
"delimitador","304",";","3","12"
"identificador","202","a","4","37"
"operador","401","=","4","39"
"identificador","202","a","4","41"
"operador","402","+","4","43"
"numero","502","1","4","45"
"delimitador","304",";","4","46"
"palavra_reservada","102","return","6","3"
"identificador","202","a","6","10"
"delimitador","304",";","6","11"
"delimitador","305","}","7","1"